id,filename,title,specialty,publication_year,source,evidence_level,authors,abstract,file_size_mb,status
1,cardiology_ocs_st_2023.pdf,Острый коронарный синдром с подъемом сегмента ST,кардиология,2023,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению пациентов с острым коронарным синдромом с подъемом сегмента ST,,pending
2,cardiology_ocs_nst_2023.pdf,Острый коронарный синдром без подъема сегмента ST,кардиология,2023,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению пациентов с острым коронарным синдромом без подъема сегмента ST,,pending
3,cardiology_hypertension_2024.pdf,Артериальная гипертензия,кардиология,2024,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению артериальной гипертензии у взрослых,,pending
4,cardiology_afib_2023.pdf,Фибрилляция и трепетание предсердий,кардиология,2023,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению фибрилляции и трепетания предсердий,,pending
5,cardiology_chf_2023.pdf,Хроническая сердечная недостаточность,кардиология,2023,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению хронической сердечной недостаточности,,pending
6,cardiology_stable_ihd_2024.pdf,Стабильная ишемическая болезнь сердца,кардиология,2024,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению стабильной ишемической болезни сердца,,pending
7,cardiology_myocarditis_2023.pdf,Миокардит,кардиология,2023,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению миокардитов,,pending
8,cardiology_endocarditis_2024.pdf,Инфекционный эндокардит,кардиология,2024,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению инфекционного эндокардита,,pending
9,cardiology_dyslipidemia_2023.pdf,Дислипидемия,кардиология,2023,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и коррекции нарушений липидного обмена,,pending
10,cardiology_pulm_hypertension_2024.pdf,Легочная гипертензия,кардиология,2024,Минздрав РФ,A,Российское кардиологическое общество,Клинические рекомендации по диагностике и лечению легочной гипертензии,,pending
11,neurology_ischemic_stroke_2024.pdf,Ишемический инсульт и транзиторная ишемическая атака,неврология,2024,Минздрав РФ,A,Всероссийское общество неврологов,Клинические рекомендации по ведению больных с ишемическим инсультом и ТИА,,pending
12,neurology_ich_2024.pdf,Внутримозговое кровоизлияние,неврология,2024,Минздрав РФ,A,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению нетравматических внутримозговых кровоизлияний,,pending
13,neurology_epilepsy_2023.pdf,Эпилепсия,неврология,2023,Минздрав РФ,A,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению эпилепсии у взрослых,,pending
14,neurology_migraine_2024.pdf,Мигрень,неврология,2024,Минздрав РФ,A,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению мигрени,,pending
15,neurology_parkinsons_2023.pdf,Болезнь Паркинсона,неврология,2023,Минздрав РФ,A,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению болезни Паркинсона,,pending
16,neurology_ms_2024.pdf,Рассеянный склероз,неврология,2024,Минздрав РФ,A,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению рассеянного склероза,,pending
17,neurology_meningitis_2023.pdf,Менингиты,неврология,2023,Минздрав РФ,B,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению бактериальных менингитов,,pending
18,neurology_tbi_2024.pdf,Черепно-мозговая травма,неврология,2024,Минздрав РФ,A,Ассоциация нейрохирургов России,Клинические рекомендации по диагностике и лечению пациентов с черепно-мозговой травмой,,pending
19,neurology_polyneuropathy_2023.pdf,Полинейропатии,неврология,2023,Минздрав РФ,B,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению полинейропатий,,pending
20,neurology_dementia_2024.pdf,Деменция,неврология,2024,Минздрав РФ,A,Всероссийское общество неврологов,Клинические рекомендации по диагностике и лечению деменции,,pending
21,therapy_covid19_2024.pdf,COVID-19,терапия,2024,Минздрав РФ,A,Минздрав РФ,Временные методические рекомендации по профилактике диагностике и лечению новой коронавирусной инфекции,,pending
22,therapy_pneumonia_2023.pdf,Внебольничная пневмония,терапия,2023,Минздрав РФ,A,Российское респираторное общество,Клинические рекомендации по диагностике и лечению внебольничной пневмонии у взрослых,,pending
23,therapy_copd_2024.pdf,Хроническая обструктивная болезнь легких,терапия,2024,Минздрав РФ,A,Российское респираторное общество,Клинические рекомендации по диагностике и лечению хронической обструктивной болезни легких,,pending
24,therapy_asthma_2023.pdf,Бронхиальная астма,терапия,2023,Минздрав РФ,A,Российское респираторное общество,Клинические рекомендации по диагностике и лечению бронхиальной астмы у взрослых,,pending
25,therapy_diabetes_t2_2024.pdf,Сахарный диабет 2 типа,терапия,2024,Минздрав РФ,A,Российская ассоциация эндокринологов,Клинические рекомендации по диагностике и лечению сахарного диабета 2 типа у взрослых,,pending
26,therapy_hypothyroidism_2023.pdf,Гипотиреоз,терапия,2023,Минздрав РФ,A,Российская ассоциация эндокринологов,Клинические рекомендации по диагностике и лечению гипотиреоза у взрослых,,pending
27,therapy_peptic_ulcer_2024.pdf,Язвенная болезнь желудка и двенадцатиперстной кишки,терапия,2024,Минздрав РФ,A,Российская гастроэнтерологическая ассоциация,Клинические рекомендации по диагностике и лечению язвенной болезни,,pending
28,therapy_gerd_2023.pdf,Гастроэзофагеальная рефлюксная болезнь,терапия,2023,Минздрав РФ,A,Российская гастроэнтерологическая ассоциация,Клинические рекомендации по диагностике и лечению гастроэзофагеальной рефлюксной болезни,,pending
29,therapy_hepatitis_c_2024.pdf,Хронический вирусный гепатит С,терапия,2024,Минздрав РФ,A,Российское общество по изучению печени,Клинические рекомендации по диагностике и лечению хронического вирусного гепатита С,,pending
30,therapy_anemia_2023.pdf,Железодефицитная анемия,терапия,2023,Минздрав РФ,A,Национальное гематологическое общество,Клинические рекомендации по диагностике и лечению железодефицитной анемии,,pending
31,surgery_appendicitis_2023.pdf,Острый аппендицит,хирургия,2023,Минздрав РФ,A,Российское общество хирургов,Клинические рекомендации по диагностике и лечению острого аппендицита у взрослых,,pending
32,surgery_inguinal_hernia_2024.pdf,Паховая грыжа,хирургия,2024,Минздрав РФ,A,Российское общество хирургов,Клинические рекомендации по лечению паховых грыж у взрослых,,pending
33,surgery_cholelithiasis_2023.pdf,Желчнокаменная болезнь,хирургия,2023,Минздрав РФ,A,Российское общество хирургов,Клинические рекомендации по диагностике и лечению желчнокаменной болезни,,pending
34,surgery_pancreatitis_2024.pdf,Острый панкреатит,хирургия,2024,Минздрав РФ,A,Российское общество хирургов,Клинические рекомендации по диагностике и лечению острого панкреатита,,pending
35,surgery_bowel_obstruction_2023.pdf,Кишечная непроходимость,хирургия,2023,Минздрав РФ,A,Российское общество хирургов,Клинические рекомендации по диагностике и лечению острой кишечной непроходимости,,pending
36,surgery_peritonitis_2024.pdf,Перитонит,хирургия,2024,Минздрав РФ,A,Российское общество хирургов,Клинические рекомендации по диагностике и лечению перитонита,,pending
37,surgery_polytrauma_2023.pdf,Политравма,хирургия,2023,Минздрав РФ,A,Российское общество хирургов,Клинические рекомендации по лечению пациентов с политравмой,,pending
38,surgery_burns_2024.pdf,Термические и химические ожоги,хирургия,2024,Минздрав РФ,A,Общество термических поражений,Клинические рекомендации по лечению термических и химических ожогов,,pending
39,surgery_thrombophlebitis_2023.pdf,Тромбофлебит,хирургия,2023,Минздрав РФ,A,Ассоциация флебологов России,Клинические рекомендации по диагностике и лечению тромбофлебита,,pending
40,surgery_varicose_veins_2024.pdf,Варикозная болезнь нижних конечностей,хирургия,2024,Минздрав РФ,A,Ассоциация флебологов России,Клинические рекомендации по диагностике и лечению варикозной болезни,,pending
41,oncology_lung_cancer_2024.pdf,Рак легкого,онкология,2024,Минздрав РФ,A,Ассоциация онкологов России,Клинические рекомендации по диагностике и лечению рака легкого,,pending
42,oncology_breast_cancer_2023.pdf,Рак молочной железы,онкология,2023,Минздрав РФ,A,Российское общество онкомаммологов,Клинические рекомендации по диагностике и лечению рака молочной железы,,pending
43,pediatrics_arvi_2024.pdf,ОРВИ у детей,педиатрия,2024,Минздрав РФ,A,Союз педиатров России,Клинические рекомендации по диагностике и лечению острых респираторных вирусных инфекций у детей,,pending
44,obstetrics_pregnancy_2023.pdf,Нормальная беременность,акушерство,2023,Минздрав РФ,A,Российское общество акушеров-гинекологов,Клинические рекомендации по ведению нормальной беременности,,pending
45,allergy_rhinitis_2024.pdf,Аллергический ринит,аллергология,2024,Минздрав РФ,A,Российская ассоциация аллергологов и клинических иммунологов,Клинические рекомендации по диагностике и лечению аллергического ринита,,pending
46,dermatology_atopic_derm_2023.pdf,Атопический дерматит,дерматология,2023,Минздрав РФ,A,Российское общество дерматовенерологов и косметологов,Клинические рекомендации по диагностике и лечению атопического дерматита,,pending
47,rheumatology_ra_2024.pdf,Ревматоидный артрит,ревматология,2024,Минздрав РФ,A,Ассоциация ревматологов России,Клинические рекомендации по диагностике и лечению ревматоидного артрита,,pending
48,rheumatology_osteoporosis_2023.pdf,Остеопороз,ревматология,2023,Минздрав РФ,A,Российская ассоциация по остеопорозу,Клинические рекомендации по диагностике профилактике и лечению остеопороза,,pending
49,urology_uti_2024.pdf,Инфекции мочевыводящих путей,урология,2024,Минздрав РФ,A,Российское общество урологов,Клинические рекомендации по диагностике и лечению инфекций мочевыводящих путей у взрослых,,pending
50,urology_urolithiasis_2023.pdf,Мочекаменная болезнь,урология,2023,Минздрав РФ,A,Российское общество урологов,Клинические рекомендации по диагностике и лечению мочекаменной болезни,,pending
